step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,rls_theta,rls_prediction_error,rls_kalman_gain_norm,rls_P_trace,rls_theta_delta,rls_converged,rls_target,rls_model_raw,rls_static_bias,elapsed_s
10,1786854541.2066305,7.764478033316184,52.30520767433194,-2.0096302619644435,-2.0096302619644435,9.380310909346454,52.30520767433194,-2.0843532738377837,-1.5021896443163785,-1.3519706798847406,-0.01278703860518383,False,0.0,False,6.513064744952338,0.0,0.04348813609739288,0.0,-1.3647577184899244,-1.0,False,-1.0,0.16250000044237822,0.07703894539246402;-0.14595241824119679;0.3549237379013279;6.078789905766323,-0.33917081870482146,2.6602275300803373,77.66436518248887,0.14812271426456614,False,-1.8413604630212,-1.5021896443163785,0.0,1.5047132968902588
11,1786854541.3567212,8.002936145275212,53.25904365815275,-1.9937832673900928,-1.9937832673900928,9.630249490043303,53.25904365815275,-1.9888319702384982,-1.7855995585065267,-1.6070396026558742,-0.01278703860518383,False,0.0,False,7.605688343519439,0.0,0.04348813609739288,0.0,-1.619826641261058,-1.0,False,-1.0,0.16460000188089907,0.08964235641867595;-0.1628601097678669;0.4370052284065268;6.921847627485076,-0.34632457974351594,2.446567789590484,72.58374504677688,0.12212336736096766,False,-2.1319241382500427,-1.7855995585065267,0.0,1.654803991317749
12,1786854541.5071943,7.8107722430787705,54.207134506130245,-1.9959323120339625,-1.9959323120339625,9.253533296065946,54.207134506130245,-1.9986936031187479,-2.078389074970022,-1.8705501674730196,-0.01278703860518383,False,0.0,False,8.660230703536264,0.0,0.04348813609739288,0.0,-1.8833372060782034,-1.0,False,-1.0,0.1556999995955266,0.13052544336059482;-0.18145361668949797;0.6055084416303274;7.824948572823996,-0.34914339496143887,2.6344005712220806,65.74607192152382,0.11714714305126514,False,-2.4275324699314607,-2.078389074970022,0.0,1.8052771091461182
13,1786854541.6575904,8.094512204749998,55.14852388378332,-2.0096059653752025,-2.0096059653752025,9.741232056537603,55.14852388378332,-2.0173063744731463,-2.342244123048256,-2.1080197107434304,-0.01278703860518383,False,0.0,False,9.744876939674612,0.0,0.04348813609739288,0.0,-2.1208067493486142,-1.0,False,-1.0,0.1627000019652769,0.12016771748034835;-0.20156389024646212;0.5249235068934581;8.740541734911917,-0.3566877414664167,2.5776353730744965,59.386293410210754,0.10496236934914792,False,-2.6989318645146727,-2.342244123048256,0.0,1.9556732177734375
14,1786854541.8076434,8.18968464357528,56.14133001316756,-1.8589409527770844,-1.8589409527770844,9.755589842714624,56.14133001316756,-1.796210505043875,-2.567189239689913,-2.310470315720922,-0.01278703860518383,False,0.0,False,10.835309763830523,0.0,0.04348813609739288,0.0,-2.3232573543261057,-1.0,False,-1.0,0.16529999993508682,0.015213378993004276;-0.22095831058821233;-0.007872189952455755;9.511861713662483,-0.3626034965015905,2.6020231365201028,48.56196162332139,0.09916530775830454,False,-2.9297927361915037,-2.567189239689913,0.0,2.1057262420654297
15,1786854541.9580736,8.28265531112257,57.05122180299364,-1.9414402359437046,-1.9414402359437046,9.847616893999916,57.05122180299364,-1.97863734353824,-2.9527893122851605,-2.6575103810566447,-0.01278703860518383,False,0.0,False,11.924129257361571,0.0,0.04348813609739288,0.0,-2.6702974196618285,-1.0,False,-1.0,0.16269999468931928,-0.016618042124055057;-0.2387003528609952;-0.21161541597578348;10.268965933016334,-0.3680826621261941,2.132363559967674,44.28346322024012,0.07639587160836483,False,-3.3208719744113546,-2.9527893122851605,0.0,2.2561564445495605
16,1786854542.1085937,8.280423904970672,57.99662276216004,-1.8956061531767125,-1.8956061531767125,9.804584599119794,57.99662276216004,-1.8778032467997,-3.3113133336843816,-2.9801820003159434,-0.01278703860518383,False,0.0,False,13.001167334094482,0.0,0.04348813609739288,0.0,-2.992969038921127,-1.0,False,-1.0,0.16260000120382756,-0.05858539420889139;-0.25475500739914414;-0.4716390369066221;10.924253162475587,-0.3727873528605068,1.8949742334614315,41.09062492877595,0.06458687580583214,False,-3.6841006865448884,-3.3113133336843816,0.0,2.4066765308380127
17,1786854542.259053,8.661414176693356,59.019741771281076,-1.9284041060059756,-1.9284041060059756,10.349812732788727,59.019741771281076,-1.9443006434559296,-3.709243297787326,-3.338318968008594,-0.01278703860518383,False,0.0,False,14.126468542916179,0.0,0.04348813609739288,0.0,-3.3511060066137777,-1.0,False,-1.0,0.16310000501107424,-0.11587007860495724;-0.2666406780101307;-0.7809540186603234;11.392969594513664,-0.38171285062333915,1.4791698774111748,39.90267982286464,0.049426434522003494,True,-4.090956148410665,-3.709243297787326,0.0,2.557135820388794
18,1786854542.4091268,8.415369966106814,59.93865823235326,-1.954258891163564,-1.954258891163564,9.835039458355375,59.93865823235326,-1.9671797853256578,-4.038018120484253,-3.634216308435828,-0.01278703860518383,False,0.0,False,15.201304870856973,0.0,0.04348813609739288,0.0,-3.6470033470410117,-1.0,False,-1.0,0.16840000171214342,-0.0856961752559313;-0.2838734116465476;-0.735273816030283;12.146702744405932,-0.3838469908228346,1.9693138348578954,36.47558000906234,0.06209999277580244,False,-4.4218651113070875,-4.038018120484253,0.0,2.707209587097168
19,1786854542.5595438,8.183761364036146,60.883083695989235,-2.0425730443192553,-2.0425730443192553,9.609617545648653,60.883083695989235,-2.082262239051964,-4.335852507224782,-3.902267256502304,-0.01278703860518383,False,0.0,False,16.233746342567628,0.0,0.04348813609739288,0.0,-3.915054295107488,-1.0,False,-1.0,0.16630000027362257,0.027676964171452448;-0.3023351738727152;-0.3215676362215695;13.021998243082924,-0.38625303212030726,2.524071880996109,27.22683038363862,0.07482482038586505,False,-4.7221055393450895,-4.335852507224782,0.0,2.8576266765594482
