step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,mpc_cost,mpc_u_sequence,mpc_predicted_yaw_err,mpc_predicted_rate,mpc_state,mpc_target_yaw,mpc_model_raw,mpc_static_bias,elapsed_s
15,1786854648.621522,3.7831782908172817,108.6965278181537,0.0,-0.8418618877800351,5.361418308843296,108.6965278181537,-0.8428954673417306,-0.35,-0.315,-0.0676459311652087,False,-0.015132713163269128,True,6.193160210055282,-0.07328113697300467,0.1,0.0,-0.4710597813014825,-0.4710597813014825,False,-0.4710597813014825,0.43849999929079786,1571.7985334202453,-1.0;-1.0;-1.0;0.21258995531008076;0.7543318733056804,6.813238698741145;7.380715442363737;7.82658282559728;8.167258112094293;8.416942234914211;8.642485549142393,3.7831782908172817;2.972449221556949;2.271168576646761;1.664560818799448;1.5036220948545467;1.526932674040887,6.813238698741145;3.7831782908172817,101.88328911941255,-0.35,0.0,2.2579033374786377
16,1786854648.7720225,3.9293858336854006,109.22883746339818,0.0,-0.8180151598126575,5.437827817590477,109.22883746339818,-0.8105883855807251,-0.35,-0.315,-0.07236119416563118,False,-0.015717543334741603,True,6.735242058002356,-0.07914057808107977,0.1,0.0,-0.4822193155814526,-0.4822193155814526,False,-0.4822193155814526,0.4661999992094934,1806.1258767068043,-1.0;-1.0;-1.0;0.2492282727291617;0.8177964547750065,7.345548343985627;7.934956219038437;8.399794030959118;8.756878738270506;9.020757010094858;9.260226987495734,3.9293858336854006;3.0989187461378718;2.380564715409259;1.759188478829009;1.5964665160058416;1.6262824727775547,7.345548343985627;3.9293858336854006,101.88328911941255,-0.35,0.0,2.4084038734436035
17,1786854648.9222095,3.845474588440779,109.7231581577933,0.0,-0.8997301458296818,5.255294234583252,109.7231581577933,-0.9375441061624931,-0.35,-0.315,-0.07697576367176011,False,-0.015381898353763116,True,7.261923261821522,-0.08415565638353756,0.1,0.0,-0.4915133184090608,-0.4915133184090608,False,-0.4915133184090608,0.45089999912306666,1997.7257864827782,-1.0;-1.0;-1.0;0.3127097387811943;0.8833937826938759,7.839869038380755;8.416690226646871;8.870640554497061;9.218307588087477;9.474039572143186;9.709319676596527,3.845474588440779;3.026335519001274;2.317780223936102;1.7048798937047283;1.5685340296889483;1.6218000704891031,7.839869038380755;3.845474588440779,101.88328911941255,-0.35,0.0,2.558590888977051
18,1786854649.072492,4.246968818639235,110.24631706551526,0.0,-0.9660005778210813,5.864819382828742,110.24631706551526,-0.997195443571482,-0.35,-0.315,-0.08207212625412719,False,-0.016987875274556943,True,7.843728885720282,-0.09117819531312052,0.1,0.0,-0.5052381968418046,-0.5052381968418046,False,-0.5052381968418046,0.4495999965001829,2307.283249127276,-1.0;-1.0;-1.0;0.3141493449264145;0.9379495288017758,8.363027946102704;9.00007326889859;9.50611747311703;9.89884570976598;10.193555634467323;10.462616439855672,4.246968818639235;3.3736280281229387;2.6181882443263422;1.964732831342286;1.793738702589002;1.8329688363800194,8.363027946102704;4.246968818639235,101.88328911941255,-0.35,0.0,2.7088732719421387
19,1786854649.2229884,4.2931960829802165,110.79147901802475,0.0,-1.0952530278329315,5.758789376087948,110.79147901802475,-1.1534401870206685,-0.35,-0.315,-0.08722396155370345,False,-0.017172784331920866,True,8.428982378386962,-0.09716941203281027,0.1,0.0,-0.5165661579184346,-0.5165661579184346,False,-0.5165661579184346,0.443600001744926,2575.1919430246735,-1.0;-1.0;-1.0;0.3655521648532091;1.0,8.908189898612193;9.552169311059226;10.06421150282591;10.46212799870409;10.761325767638716;11.036581685185563,4.2931960829802165;3.4136146117778874;2.6527766391878727;1.9946517928975098;1.8350394503123086;1.887309124520147,8.908189898612193;4.2931960829802165,101.88328911941255,-0.35,0.0,2.8593697547912598
20,1786854649.3735118,3.807536831750035,111.29644673526303,0.0,-0.9715058593952317,5.045178761041554,111.29644673526303,-0.9212646106760184,-0.35,-0.315,-0.09179300575180349,False,-0.01523014732700014,True,8.940792032349606,-0.10083053081874617,0.1,0.0,-0.5228536838975498,-0.5228536838975498,False,-0.5228536838975498,0.451600004453212,2724.810321028669,-1.0;-1.0;-1.0;0.48402969951015123;1.0,9.41315761585048;9.984288140612986;10.433316044532553;10.776725181422979;11.028774084833197;11.268577722760993,3.807536831750035;2.99351935946378;2.28939424593617;1.6803260227347867;1.5986909195186358;1.68286764538362,9.41315761585048;3.807536831750035,101.88328911941255,-0.35,0.0,3.0098931789398193
21,1786854649.5239942,6.732789687434917,112.13790939636601,0.0,-1.0167821662321948,9.432251091118607,112.13790939636601,-1.0389795497735512,-0.5,-0.45,-0.0998723533767254,False,-0.02693115874973967,True,9.882658820967976,-0.1190249572719845,0.1,0.0,-0.6958284693984494,-0.6958284693984494,False,-0.6958284693984494,0.43029999505961314,3889.925567099517,-1.0;-1.0;-1.0;0.18068579190409084;1.0,10.25462027695346;11.264538730068697;12.093118192013378;12.764839426595527;13.300878294509086;13.772682775889999,6.732789687434917;5.523863079631203;4.478141563880991;3.5735924527570573;3.145363209206082;3.0207391759632607,10.25462027695346;6.732789687434917,101.88328911941255,-0.5,0.0,3.1603755950927734
22,1786854649.6744826,7.819286725542447,113.15313319335962,0.0,-1.394517454710443,9.730709921692984,113.15313319335962,-1.5591972589552077,-0.65,-0.5850000000000001,-0.0998723533767254,False,0.0,False,10.98033076151522,0.0,0.1,0.0,-0.6848723533767255,-0.6848723533767255,False,-0.6848723533767255,0.4501000003074296,4840.287384849154,-1.0;-1.0;-1.0;0.1422634538964061;1.0,11.26984407394707;12.442737082778438;13.412289535417571;14.20595240695042;14.847470790826335;15.40878604830434,7.819286725542447;6.463683017594217;5.291085810218998;4.276789225839433;3.7421017165200317;3.5369179847898273,11.26984407394707;7.819286725542447,101.88328911941255,-0.65,0.0,3.310863971710205
23,1786854649.8249705,8.77303220781348,114.1419014002725,0.0,-1.467960145107827,10.62756188003409,114.1419014002725,-1.5022288358893638,-0.8,-0.7200000000000001,-0.0998723533767254,False,0.0,False,12.200907279925104,0.0,0.1,0.0,-0.8198723533767255,-0.8198723533767255,False,-0.8198723533767255,0.41030000284081325,5831.395179521051,-1.0;-1.0;-1.0;0.11884672654407237;1.0,12.25861228085995;13.574567112031971;14.66786804099577;15.568573344549456;16.302683432123395;16.943036760569335,8.77303220781348;7.288672859758661;6.004702023691242;4.894067250492924;4.2690221896396015;3.992704194038255,12.25861228085995;8.77303220781348,101.88328911941255,-0.8,0.0,3.4613518714904785
24,1786854649.975485,9.652586809960567,115.24313945093684,0.0,-1.5757848593636843,11.475320390699489,115.24313945093684,-1.624788703227424,-0.9500000000000001,-0.8550000000000001,-0.0998723533767254,False,0.0,False,13.533315256011647,0.0,0.1,0.0,-0.9548723533767255,-0.9548723533767255,False,-0.9548723533767255,0.4107000058866106,6975.310203340883,-1.0;-1.0;-1.0;0.11726189001015515;1.0,13.359850331524285;14.80773835301837;16.015161491610755;17.014582506493166;17.834081684366453;18.548225258277302,9.652586809960567;8.04948759061589;6.662806765882745;5.463327852488574;4.760957159405663;4.418227942885898,13.359850331524285;9.652586809960567,101.88328911941255,-0.9500000000000001,0.0,3.6118664741516113
25,1786854650.1259928,10.47818528351302,116.49305511996732,0.0,-1.8630892786001656,12.277794809139952,116.49305511996732,-1.9890129960270302,-1.0,-0.9,-0.0998723533767254,False,0.0,False,14.973056436883951,0.0,0.1,0.0,-0.9998723533767254,-0.9998723533767254,False,-0.9998723533767254,0.4095999975106679,8326.193597810845,-1.0;-1.0;-1.0;0.13862132406200828;1.0,14.609766000554771;16.181493793081724;17.496038333617538;18.58811936118102;19.48776945002343;20.272204736454903,10.47818528351302;8.76363027023876;7.280540183756528;5.997667258949397;5.2295685762098305;4.823576818421503,14.609766000554771;10.47818528351302,101.88328911941255,-1.0,0.0,3.76237416267395
26,1786854650.2760408,10.72978084873731,117.70726085413378,0.0,-1.9583858325590735,12.28338912793789,117.70726085413378,-2.0020204648669777,-1.0,-0.9,-0.0998723533767254,False,0.0,False,16.429474970020735,0.0,0.1,0.0,-0.9998723533767254,-0.9998723533767254,False,-0.9998723533767254,0.4091000009793788,9509.311457253585,-1.0;-1.0;-1.0;0.23317674416130993;1.0,15.823971734721226;17.433438862031824;18.78062792715549;19.90094646848746;20.825022006739616;21.63484030081499,10.72978084873731;8.981260434157772;7.468790275546473;6.160503588347699;5.398788627169153;4.9699521625013166,15.823971734721226;10.72978084873731,101.88328911941255,-1.0,0.0,3.9124221801757812
27,1786854650.4264965,11.150349396384762,118.96746622644429,0.0,-1.9888457613382187,12.776374668052409,118.96746622644429,-2.004693268569082,-1.0,-0.9,-0.0998723533767254,False,0.0,False,17.92823490986676,0.0,0.1,0.0,-0.9998723533767254,-0.9998723533767254,False,-0.9998723533767254,0.4117999997106381,10897.151145006072,-1.0;-1.0;-1.0;0.3099345711488067;1.0,17.084177107031735;18.75672951648945;20.158487350670374;21.326007877236872;22.29091313271689;23.139503234408807,11.150349396384762;9.345052227872818;7.7834701771099875;6.43270170320014;5.657267344612762;5.1935362530900395,17.084177107031735;11.150349396384762,101.88328911941255,-1.0,0.0,4.062877893447876
28,1786854650.576939,11.41003106437843,120.27216028710905,0.0,-1.9461526668399851,12.967104816194455,120.27216028710905,-1.9306488783805433,-1.0,-0.9,-0.0998723533767254,False,0.0,False,19.447305649561414,0.0,0.1,0.0,-0.9998723533767254,-0.9998723533767254,False,-0.9998723533767254,0.3977999949711375,12348.682094565796,-1.0;-1.0;-1.0;0.41296665880676947;1.0,18.388871167696493;20.100375827353258;21.535827357956357;22.73249293192804;23.722608653413545;24.597642252144812,11.41003106437843;9.56967687068734;7.97777049314455;6.600771476570036;5.833557324875112;5.346027086016972,18.388871167696493;11.41003106437843,101.88328911941255,-1.0,0.0,4.21332049369812
29,1786854650.727446,11.283461589545354,121.55210466777618,0.0,-2.007117469280276,12.674999137292776,121.55210466777618,-2.0360384937944875,-1.0,-0.9,-0.0998723533767254,False,0.0,False,20.929779693006907,0.0,0.1,0.0,-0.9998723533767254,-0.9998723533767254,False,-0.9998723533767254,0.4377000004751608,13669.010569674934,-1.0;-1.0;-1.0;0.5651768164724439;1.0,19.668815548363625;21.361334786795428;22.780363928038938;23.962824135214575;24.9406522144215;25.811906459676752,11.283461589545354;9.46019427495673;7.883068047837573;6.5188538613795;5.808361635035001;5.324232814305276,19.668815548363625;11.283461589545354,101.88328911941255,-1.0,0.0,4.363827466964722
30,1786854650.8779247,11.411797487347727,122.78736058195398,0.0,-2.1256102092297433,12.912580194796055,122.78736058195398,-2.1791860641050307,-1.0,-0.9,-0.0998723533767254,False,0.0,False,22.41018664000771,0.0,0.1,0.0,-0.9998723533767254,-0.9998723533767254,False,-0.9998723533767254,0.42129999928874895,15145.123006159401,-1.0;-1.0;-1.0;0.6784844968404379;1.0,20.904071462541424;22.615841085643584;24.05152180962695;25.248385635872562;26.238672845575017;27.12580308432546,11.411797487347727;9.571204826555782;7.979092174970751;6.6019147313497;5.914201591669621;5.415784376794222,20.904071462541424;11.411797487347727,101.88328911941255,-1.0,0.0,4.51430606842041
31,1786854651.0284255,10.909816774788649,124.08212238560526,0.0,-2.0020313638031384,12.140463792082071,124.08212238560526,-1.9518622535172512,-1.0,-0.9,-0.0998723533767254,False,0.0,False,23.806659156226004,0.0,0.1,0.0,-0.9998723533767254,-0.9998723533767254,False,-0.9998723533767254,0.45140000293031335,16430.678852595687,-1.0;-1.0;-1.0;0.8825998208873764;1.0,22.198833266192707;23.835305782411005;25.205854508939833;26.34637915738727;27.2879329782943;28.142094025318816,10.909816774788649;9.13699151019218;7.603497656316236;6.277025472713544;5.6944069801634285;5.225662037841365,22.198833266192707;10.909816774788649,101.88328911941255,-1.0,0.0,4.664806842803955
32,1786854651.178914,11.110689151194997,125.31803515584664,0.0,-1.9806996998279884,12.642558920902172,125.31803515584664,-1.9743508101641538,-1.0,-0.9,-0.0998723533767254,False,0.0,False,25.233262528905243,0.0,0.1,0.0,-0.9998723533767254,-0.9998723533767254,False,-0.9998723533767254,0.43739999819081277,18095.53039571165,-1.0;-1.0;-1.0;0.9862503579310301;1.0,23.434746036434092;25.10134940911334;26.49796132648089;27.661030635003822;28.622085586876157;29.497779386352622,11.110689151194997;9.31074611578367;7.753795390152875;6.407033012482237;5.837958663176443;5.349834243647623,23.434746036434092;11.110689151194997,101.88328911941255,-1.0,0.0,4.815295457839966
